Country,Nuclear,Fossil fuels,Hydro-electricity,Geo-thermal,Tide and wave,Solar,Wind,Biomass and waste,Consumption,Imports,Exports
Germany,65441 ,260790 ,19252 ,249 ,0 ,49992 ,113624 ,49883 ,511660 ,51336 ,70237 
Spain,54040 ,83365 ,29626 ,0 ,19 ,25938 ,60833 ,6528 ,233977 ,17388 ,16506 
France,360704 ,48048 ,58857 ,133 ,484 ,15095 ,36908 ,11733 ,447447 ,24532 ,69369 
Sweden,50992 ,1534 ,71086 ,0 ,0 ,1507 ,27306 ,12863 ,130756 ,8341 ,33910 
Italy,0 ,159842 ,44739 ,5530 ,0 ,25039 ,20687 ,19198 ,299922 ,46564 ,3770 
Netherlands,3618 ,74901 ,84 ,0 ,0 ,12655 ,18004 ,8177 ,113278 ,20885 ,20632 
Poland,0 ,136021 ,2339 ,0 ,0 ,3831 ,16181 ,8547 ,158194 ,15100 ,14212 
Denmark,0 ,7169 ,16 ,0 ,0 ,1278 ,16034 ,8295 ,38183 ,19445 ,12979 
Portugal,0 ,16745 ,11846 ,178 ,0 ,2192 ,13055 ,3874 ,47743 ,9545 ,4792 
Belgium,47892 ,24521 ,393 ,0 ,0 ,5568 ,11692 ,5096 ,83413 ,15194 ,23070 
Greece,0 ,30839 ,5909 ,0 ,0 ,5106 ,10471 ,174 ,52140 ,7583 ,3898 
Ireland,0 ,22346 ,750 ,0 ,0 ,79 ,9712 ,930 ,32645 ,2309 ,863 
Finland,22630 ,9534 ,15766 ,0 ,0 ,305 ,8186 ,13232 ,83725 ,23999 ,6713 
Romania,10377 ,18547 ,17377 ,0 ,0 ,1703 ,6508 ,608 ,50527 ,8697 ,6499 
Austria,0 ,13752 ,38751 ,0 ,0 ,2722 ,6460 ,4202 ,68534 ,26436 ,18893 
Croatia,0 ,4243 ,7128 ,75 ,0 ,149 ,2058 ,1012 ,15932 ,11 ,7545 
Bulgaria,16487 ,16935 ,4819 ,0 ,0 ,1497 ,1421 ,590 ,30321 ,1857 ,10635 
Lithuania,0 ,1341 ,384 ,0 ,0 ,191 ,1354 ,695 ,11822 ,12479 ,3435 
Estonia,0 ,3498 ,25 ,0 ,0 ,305 ,741 ,2084 ,8842 ,7333 ,4704 
Hungary,15110 ,12093 ,202 ,12 ,0 ,3896 ,645 ,2233 ,43914 ,19967 ,7213 
Czechia,29042 ,37831 ,2409 ,0 ,0 ,2184 ,594 ,4943 ,61915 ,15153 ,26228 
Luxembourg,0 ,261 ,107 ,0 ,0 ,223 ,335 ,379 ,6496 ,6758 ,1037 
Cyprus,0 ,4100 ,0 ,0 ,0 ,477 ,244 ,57 ,4659 ,0 ,0 
Latvia,0 ,1958 ,2689 ,0 ,0 ,7 ,137 ,748 ,6917 ,4667 ,2895 
Slovakia,14590 ,6010 ,4170 ,0 ,0 ,672 ,6 ,1854 ,26103 ,13886 ,13098 
Slovenia,5419 ,4114 ,4712 ,0 ,0 ,453 ,6 ,248 ,13727 ,8387 ,8658 
Malta,0 ,1848 ,0 ,0 ,0 ,256 ,1 ,7 ,2495 ,547 ,36 
